Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
C6ID 24xlarge,c6id.24xlarge,192 GiB,96 vCPUs,5700 GB (4×1425 GB NVMe SSD),37.5 Gigabit,$4.8384 hourly,$3.0492 hourly,$1.6499 hourly,$9.2544 hourly,$7.4652 hourly
C6ID 32xlarge,c6id.32xlarge,256 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$6.4512 hourly,$4.0656 hourly,$2.2053 hourly,$12.3392 hourly,$4.0656 hourly
C6ID Metal,c6id.metal,256 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$6.4512 hourly,$4.0656 hourly,$2.0942 hourly,$12.3392 hourly,$9.9536 hourly
C6IN Large,c6in.large,4 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.1134 hourly,$0.0714 hourly,$0.0432 hourly,$0.2054 hourly,$0.1634 hourly
C6IN Extra Large,c6in.xlarge,8 GiB,4 vCPUs,EBS only,Up to 30 Gigabit,$0.2268 hourly,$0.1429 hourly,$0.0819 hourly,$0.4108 hourly,$0.3269 hourly
C6IN Double Extra Large,c6in.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 40 Gigabit,$0.4536 hourly,$0.2858 hourly,$0.1668 hourly,$0.8216 hourly,$0.2858 hourly
C6IN Quadruple Extra Large,c6in.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 50 Gigabit,$0.9072 hourly,$0.5715 hourly,$0.3226 hourly,$1.6432 hourly,$1.3075 hourly
C6IN Eight Extra Large,c6in.8xlarge,64 GiB,32 vCPUs,EBS only,50 Gigabit,$1.8144 hourly,$1.1431 hourly,$0.6978 hourly,$3.2864 hourly,$2.6151 hourly
C6IN 12xlarge Extra Large,c6in.12xlarge,96 GiB,48 vCPUs,EBS only,75 Gigabit,$2.7216 hourly,$1.7146 hourly,$1.0087 hourly,$4.9296 hourly,$1.7146 hourly
C6IN 16xlarge Extra Large,c6in.16xlarge,128 GiB,64 vCPUs,EBS only,100 Gigabit,$3.6288 hourly,$2.2861 hourly,$1.2915 hourly,$6.5728 hourly,$2.2861 hourly
C6IN 24xlarge,c6in.24xlarge,192 GiB,96 vCPUs,EBS only,150 Gigabit,$5.4432 hourly,$3.4292 hourly,$1.8746 hourly,$9.8592 hourly,$3.4292 hourly
C6IN 32xlarge,c6in.32xlarge,256 GiB,128 vCPUs,EBS only,200 Gigabit,$7.2576 hourly,$4.5723 hourly,$2.3902 hourly,$13.1456 hourly,$4.5723 hourly
C6IN Metal,c6in.metal,256 GiB,128 vCPUs,EBS only,200 Gigabit,$7.2576 hourly,$4.5723 hourly,$1.9585 hourly,$13.1456 hourly,$4.5723 hourly
C7A Medium,c7a.medium,2 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0513 hourly,$0.034 hourly,$0.0197 hourly,$0.0973 hourly,$0.08 hourly
C7A Large,c7a.large,4 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1026 hourly,$0.0679 hourly,$0.0348 hourly,$0.1946 hourly,$0.1599 hourly
C7A Extra Large,c7a.xlarge,8 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2053 hourly,$0.1358 hourly,$0.0795 hourly,$0.3893 hourly,$0.3198 hourly
C7A Double Extra Large,c7a.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.4106 hourly,$0.2716 hourly,$0.1776 hourly,$0.7786 hourly,$0.6396 hourly
C7A Quadruple Extra Large,c7a.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.8211 hourly,$0.5432 hourly,$0.3003 hourly,$1.5571 hourly,$1.2792 hourly
C7A Eight Extra Large,c7a.8xlarge,64 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.6422 hourly,$1.0863 hourly,$0.6156 hourly,$3.1142 hourly,$2.5583 hourly
C7A 12xlarge Extra Large,c7a.12xlarge,96 GiB,48 vCPUs,EBS only,18.75 Gigabit,$2.4634 hourly,$1.6295 hourly,$0.9042 hourly,$4.6714 hourly,$3.8375 hourly
C7A 16xlarge Extra Large,c7a.16xlarge,128 GiB,64 vCPUs,EBS only,25 Gigabit,$3.2845 hourly,$2.1727 hourly,$1.1688 hourly,$6.2285 hourly,$5.1167 hourly
