Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
C3 High-CPU Eight Extra Large,c3.8xlarge,60 GiB,32 vCPUs,640 GB (2×320 GB SSD),10 Gigabit,$2.043 hourly,$1.552 hourly,$0.7337 hourly,$3.699 hourly,$2.978 hourly
C4 High-CPU Large,c4.large,3.75 GiB,2 vCPUs,EBS only,Moderate,$0.126 hourly,$0.09 hourly,$0.0374 hourly,$0.218 hourly,$0.182 hourly
C4 High-CPU Extra Large,c4.xlarge,7.5 GiB,4 vCPUs,EBS only,High,$0.252 hourly,$0.181 hourly,$0.0896 hourly,$0.436 hourly,$0.365 hourly
C4 High-CPU Double Extra Large,c4.2xlarge,15 GiB,8 vCPUs,EBS only,High,$0.504 hourly,$0.361 hourly,$0.1862 hourly,$0.872 hourly,$0.729 hourly
C4 High-CPU Quadruple Extra Large,c4.4xlarge,30 GiB,16 vCPUs,EBS only,High,$1.008 hourly,$0.722 hourly,$0.3112 hourly,$1.744 hourly,$1.458 hourly
C4 High-CPU Eight Extra Large,c4.8xlarge,60 GiB,36 vCPUs,EBS only,10 Gigabit,$2.016 hourly,$1.445 hourly,$0.6227 hourly,$3.672 hourly,$3.101 hourly
C5 High-CPU Large,c5.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.107 hourly,$0.067 hourly,$0.0379 hourly,$0.199 hourly,$0.159 hourly
C5 High-CPU Extra Large,c5.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.214 hourly,$0.135 hourly,$0.0705 hourly,$0.398 hourly,$0.319 hourly
C5 High-CPU Double Extra Large,c5.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.428 hourly,$0.27 hourly,$0.1642 hourly,$0.796 hourly,$0.638 hourly
C5 High-CPU Quadruple Extra Large,c5.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.856 hourly,$0.539 hourly,$0.2039 hourly,$1.592 hourly,$1.275 hourly
C5 High-CPU 9xlarge,c5.9xlarge,72 GiB,36 vCPUs,EBS only,12 Gigabit,$1.926 hourly,$1.213 hourly,$0.5587 hourly,$3.582 hourly,$2.869 hourly
C5 High-CPU 12xlarge Extra Large,c5.12xlarge,96 GiB,48 vCPUs,EBS only,12 Gigabit,$2.568 hourly,$1.618 hourly,$0.6596 hourly,$4.776 hourly,$3.826 hourly
C5 High-CPU 18xlarge,c5.18xlarge,144 GiB,72 vCPUs,EBS only,25 Gigabit,$3.852 hourly,$2.427 hourly,$0.8399 hourly,$7.164 hourly,$5.739 hourly
