Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
G5 Graphics and Machine Learning GPU Eight Extra Large,g5.8xlarge,128 GiB,32 vCPUs,900 GB NVMe SSD,25 Gigabit,$3.0612 hourly,$1.9286 hourly,$1.0357 hourly,$4.5332 hourly,$1.9286 hourly
G5 Graphics and Machine Learning GPU 12xlarge Extra Large,g5.12xlarge,192 GiB,48 vCPUs,3800 GB NVMe SSD,40 Gigabit,$7.0928 hourly,$4.4685 hourly,$2.3321 hourly,$9.3008 hourly,$4.4685 hourly
G5 Graphics and Machine Learning GPU 16xlarge Extra Large,g5.16xlarge,256 GiB,64 vCPUs,1900 GB NVMe SSD,25 Gigabit,$5.122 hourly,$3.2269 hourly,$1.517 hourly,$8.066 hourly,$6.1709 hourly
G5 Graphics and Machine Learning GPU 24xlarge,g5.24xlarge,384 GiB,96 vCPUs,3800 GB NVMe SSD,50 Gigabit,$10.1841 hourly,$6.416 hourly,$2.1642 hourly,$14.6001 hourly,$6.416 hourly
G5 Graphics and Machine Learning GPU 48xlarge,g5.48xlarge,768 GiB,192 vCPUs,7600 GB (2×3800 GB NVMe SSD),100 Gigabit,$20.3681 hourly,$12.8319 hourly,$4.6363 hourly,$29.2001 hourly,$12.8319 hourly
G5G Extra Large,g5g.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.5254 hourly,$0.3584 hourly,$0.1514 hourly,unavailable,unavailable
G5G Double Extra Large,g5g.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.6955 hourly,$0.4744 hourly,$0.2025 hourly,unavailable,unavailable
G5G Quadruple Extra Large,g5g.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$1.0358 hourly,$0.7065 hourly,$0.2476 hourly,unavailable,unavailable
G5G Eight Extra Large,g5g.8xlarge,64 GiB,32 vCPUs,EBS only,12 Gigabit,$1.7163 hourly,$1.1706 hourly,$0.4588 hourly,unavailable,unavailable
G5G 16xlarge Extra Large,g5g.16xlarge,128 GiB,64 vCPUs,EBS only,25 Gigabit,$3.4326 hourly,$2.3413 hourly,$0.5598 hourly,unavailable,unavailable
