Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
C6GN Metal,c6gn.metal,128 GiB,64 vCPUs,EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6I Large,c6i.large,4 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0213 hourly / GiB,$0.0141 hourly / GiB,$0.008 hourly / GiB,$0.0443 hourly / GiB,$0.0141 hourly / GiB
C6I Extra Large,c6i.xlarge,8 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0213 hourly / GiB,$0.0141 hourly / GiB,$0.0076 hourly / GiB,$0.0443 hourly / GiB,$0.0371 hourly / GiB
C6I Double Extra Large,c6i.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0213 hourly / GiB,$0.0141 hourly / GiB,$0.0085 hourly / GiB,$0.0443 hourly / GiB,$0.0371 hourly / GiB
C6I Quadruple Extra Large,c6i.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0213 hourly / GiB,$0.0141 hourly / GiB,$0.0086 hourly / GiB,$0.0443 hourly / GiB,$0.0141 hourly / GiB
C6I Eight Extra Large,c6i.8xlarge,64 GiB,32 vCPUs,EBS only,12.5 Gigabit,$0.0213 hourly / GiB,$0.0141 hourly / GiB,$0.0081 hourly / GiB,$0.0443 hourly / GiB,$0.0141 hourly / GiB
C6I 12xlarge Extra Large,c6i.12xlarge,96 GiB,48 vCPUs,EBS only,18.75 Gigabit,$0.0213 hourly / GiB,$0.0141 hourly / GiB,$0.0079 hourly / GiB,$0.0443 hourly / GiB,$0.0141 hourly / GiB
C6I 16xlarge Extra Large,c6i.16xlarge,128 GiB,64 vCPUs,EBS only,25 Gigabit,$0.0213 hourly / GiB,$0.0141 hourly / GiB,$0.0075 hourly / GiB,$0.0443 hourly / GiB,$0.0371 hourly / GiB
C6I 24xlarge,c6i.24xlarge,192 GiB,96 vCPUs,EBS only,37.5 Gigabit,$0.0213 hourly / GiB,$0.0141 hourly / GiB,$0.0077 hourly / GiB,$0.0443 hourly / GiB,$0.0141 hourly / GiB
C6I 32xlarge,c6i.32xlarge,256 GiB,128 vCPUs,EBS only,50 Gigabit,$0.0213 hourly / GiB,$0.0141 hourly / GiB,$0.0074 hourly / GiB,$0.0443 hourly / GiB,$0.0371 hourly / GiB
C6I Metal,c6i.metal,256 GiB,128 vCPUs,EBS only,50 Gigabit,$0.0213 hourly / GiB,$0.0141 hourly / GiB,$0.0072 hourly / GiB,$0.0443 hourly / GiB,$0.0371 hourly / GiB
C6ID Large,c6id.large,4 GiB,2 vCPUs,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.0252 hourly / GiB,$0.0159 hourly / GiB,$0.01 hourly / GiB,$0.0482 hourly / GiB,$0.0159 hourly / GiB
C6ID Extra Large,c6id.xlarge,8 GiB,4 vCPUs,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.0252 hourly / GiB,$0.0159 hourly / GiB,$0.0093 hourly / GiB,$0.0482 hourly / GiB,$0.0389 hourly / GiB
C6ID Double Extra Large,c6id.2xlarge,16 GiB,8 vCPUs,474 GB NVMe SSD,Up to 12.5 Gigabit,$0.0252 hourly / GiB,$0.0159 hourly / GiB,$0.0107 hourly / GiB,$0.0482 hourly / GiB,$0.0389 hourly / GiB
C6ID Quadruple Extra Large,c6id.4xlarge,32 GiB,16 vCPUs,950 GB NVMe SSD,Up to 12.5 Gigabit,$0.0252 hourly / GiB,$0.0159 hourly / GiB,$0.009 hourly / GiB,$0.0482 hourly / GiB,$0.0389 hourly / GiB
C6ID Eight Extra Large,c6id.8xlarge,64 GiB,32 vCPUs,1900 GB NVMe SSD,12.5 Gigabit,$0.0252 hourly / GiB,$0.0159 hourly / GiB,$0.0091 hourly / GiB,$0.0482 hourly / GiB,$0.0159 hourly / GiB
C6ID 12xlarge Extra Large,c6id.12xlarge,96 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),18.75 Gigabit,$0.0252 hourly / GiB,$0.0159 hourly / GiB,$0.0089 hourly / GiB,$0.0482 hourly / GiB,$0.0159 hourly / GiB
C6ID 16xlarge Extra Large,c6id.16xlarge,128 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$0.0252 hourly / GiB,$0.0159 hourly / GiB,$0.0086 hourly / GiB,$0.0482 hourly / GiB,$0.0389 hourly / GiB
C6ID 24xlarge,c6id.24xlarge,192 GiB,96 vCPUs,5700 GB (4×1425 GB NVMe SSD),37.5 Gigabit,$0.0252 hourly / GiB,$0.0159 hourly / GiB,$0.0086 hourly / GiB,$0.0482 hourly / GiB,$0.0389 hourly / GiB
C6ID 32xlarge,c6id.32xlarge,256 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$0.0252 hourly / GiB,$0.0159 hourly / GiB,$0.0086 hourly / GiB,$0.0482 hourly / GiB,$0.0159 hourly / GiB
C6ID Metal,c6id.metal,256 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$0.0252 hourly / GiB,$0.0159 hourly / GiB,$0.0083 hourly / GiB,$0.0482 hourly / GiB,$0.0389 hourly / GiB
C6IN Large,c6in.large,4 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.0284 hourly / GiB,$0.0179 hourly / GiB,$0.0108 hourly / GiB,$0.0514 hourly / GiB,$0.0409 hourly / GiB
C6IN Extra Large,c6in.xlarge,8 GiB,4 vCPUs,EBS only,Up to 30 Gigabit,$0.0284 hourly / GiB,$0.0179 hourly / GiB,$0.0099 hourly / GiB,$0.0514 hourly / GiB,$0.0179 hourly / GiB
C6IN Double Extra Large,c6in.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 40 Gigabit,$0.0284 hourly / GiB,$0.0179 hourly / GiB,$0.0103 hourly / GiB,$0.0514 hourly / GiB,$0.0409 hourly / GiB
C6IN Quadruple Extra Large,c6in.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 50 Gigabit,$0.0284 hourly / GiB,$0.0179 hourly / GiB,$0.0102 hourly / GiB,$0.0514 hourly / GiB,$0.0179 hourly / GiB
C6IN Eight Extra Large,c6in.8xlarge,64 GiB,32 vCPUs,EBS only,50 Gigabit,$0.0284 hourly / GiB,$0.0179 hourly / GiB,$0.0106 hourly / GiB,$0.0514 hourly / GiB,$0.0409 hourly / GiB
C6IN 12xlarge Extra Large,c6in.12xlarge,96 GiB,48 vCPUs,EBS only,75 Gigabit,$0.0284 hourly / GiB,$0.0179 hourly / GiB,$0.0106 hourly / GiB,$0.0514 hourly / GiB,$0.0409 hourly / GiB
C6IN 16xlarge Extra Large,c6in.16xlarge,128 GiB,64 vCPUs,EBS only,100 Gigabit,$0.0284 hourly / GiB,$0.0179 hourly / GiB,$0.01 hourly / GiB,$0.0514 hourly / GiB,$0.0409 hourly / GiB
C6IN 24xlarge,c6in.24xlarge,192 GiB,96 vCPUs,EBS only,150 Gigabit,$0.0284 hourly / GiB,$0.0179 hourly / GiB,$0.0097 hourly / GiB,$0.0514 hourly / GiB,$0.0409 hourly / GiB
C6IN 32xlarge,c6in.32xlarge,256 GiB,128 vCPUs,EBS only,200 Gigabit,$0.0284 hourly / GiB,$0.0179 hourly / GiB,$0.0094 hourly / GiB,$0.0514 hourly / GiB,$0.0409 hourly / GiB
C6IN Metal,c6in.metal,256 GiB,128 vCPUs,EBS only,200 Gigabit,$0.0284 hourly / GiB,$0.0179 hourly / GiB,$0.0081 hourly / GiB,$0.0514 hourly / GiB,$0.0179 hourly / GiB
C7A Medium,c7a.medium,2 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0257 hourly / GiB,$0.017 hourly / GiB,$0.0097 hourly / GiB,$0.0487 hourly / GiB,$0.04 hourly / GiB
