Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
R5N 24xlarge,r5n.24xlarge,768 GiB,96 vCPUs,EBS only,100 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0257 hourly / vCPU,$0.1205 hourly / vCPU,$0.0929 hourly / vCPU
R5N Metal,r5n.metal,768 GiB,96 vCPUs,EBS only,100 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0243 hourly / vCPU,$0.1205 hourly / vCPU,$0.0929 hourly / vCPU
R6A Large,r6a.large,16 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0567 hourly / vCPU,$0.0375 hourly / vCPU,$0.0201 hourly / vCPU,$0.1027 hourly / vCPU,$0.0375 hourly / vCPU
R6A Extra Large,r6a.xlarge,32 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0567 hourly / vCPU,$0.0375 hourly / vCPU,$0.0189 hourly / vCPU,$0.1027 hourly / vCPU,$0.0835 hourly / vCPU
R6A Double Extra Large,r6a.2xlarge,64 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0567 hourly / vCPU,$0.0375 hourly / vCPU,$0.022 hourly / vCPU,$0.1027 hourly / vCPU,$0.0835 hourly / vCPU
R6A Quadruple Extra Large,r6a.4xlarge,128 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0567 hourly / vCPU,$0.0375 hourly / vCPU,$0.0224 hourly / vCPU,$0.1027 hourly / vCPU,$0.0375 hourly / vCPU
R6A Eight Extra Large,r6a.8xlarge,256 GiB,32 vCPUs,EBS only,12.5 Gigabit,$0.0567 hourly / vCPU,$0.0375 hourly / vCPU,$0.0182 hourly / vCPU,$0.1027 hourly / vCPU,$0.0835 hourly / vCPU
R6A 12xlarge Extra Large,r6a.12xlarge,384 GiB,48 vCPUs,EBS only,18.75 Gigabit,$0.0567 hourly / vCPU,$0.0375 hourly / vCPU,$0.0208 hourly / vCPU,$0.1027 hourly / vCPU,$0.0375 hourly / vCPU
R6A 16xlarge Extra Large,r6a.16xlarge,512 GiB,64 vCPUs,EBS only,25 Gigabit,$0.0567 hourly / vCPU,$0.0375 hourly / vCPU,$0.018 hourly / vCPU,$0.1027 hourly / vCPU,$0.0835 hourly / vCPU
R6A 24xlarge,r6a.24xlarge,768 GiB,96 vCPUs,EBS only,37.5 Gigabit,$0.0567 hourly / vCPU,$0.0375 hourly / vCPU,$0.0193 hourly / vCPU,$0.1027 hourly / vCPU,$0.0375 hourly / vCPU
R6A 32xlarge,r6a.32xlarge,1024 GiB,128 vCPUs,EBS only,50 Gigabit,$0.0567 hourly / vCPU,$0.0375 hourly / vCPU,$0.0192 hourly / vCPU,$0.1027 hourly / vCPU,$0.0375 hourly / vCPU
R6A 48xlarge,r6a.48xlarge,1536 GiB,192 vCPUs,EBS only,50 Gigabit,$0.0567 hourly / vCPU,$0.0375 hourly / vCPU,$0.0182 hourly / vCPU,$0.1027 hourly / vCPU,$0.0375 hourly / vCPU
R6A Metal,r6a.metal,1536 GiB,192 vCPUs,EBS only,50 Gigabit,$0.0567 hourly / vCPU,$0.0375 hourly / vCPU,$0.0179 hourly / vCPU,$0.1027 hourly / vCPU,$0.0375 hourly / vCPU
R6G Medium,r6g.medium,8 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,$0.0504 hourly / vCPU,$0.0318 hourly / vCPU,$0.0164 hourly / vCPU,unavailable,unavailable
