Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
C6GD Quadruple Extra Large,c6gd.4xlarge,32 GiB,16 vCPUs,950 GB NVMe SSD,Up to 10 Gigabit,$0.046 hourly / vCPU,$0.029 hourly / vCPU,$0.0103 hourly / vCPU,unavailable,unavailable
C6GD Eight Extra Large,c6gd.8xlarge,64 GiB,32 vCPUs,1900 GB NVMe SSD,12 Gigabit,$0.046 hourly / vCPU,$0.029 hourly / vCPU,$0.0084 hourly / vCPU,unavailable,unavailable
C6GD 12xlarge Extra Large,c6gd.12xlarge,96 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),20 Gigabit,$0.046 hourly / vCPU,$0.029 hourly / vCPU,$0.0117 hourly / vCPU,unavailable,unavailable
C6GD 16xlarge Extra Large,c6gd.16xlarge,128 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$0.046 hourly / vCPU,$0.029 hourly / vCPU,$0.0127 hourly / vCPU,unavailable,unavailable
C6GD Metal,c6gd.metal,128 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$0.046 hourly / vCPU,$0.029 hourly / vCPU,$0.0088 hourly / vCPU,unavailable,unavailable
C6GN Medium,c6gn.medium,2 GiB,1 vCPUs,EBS only,Up to 16 Gigabit,$0.0513 hourly / vCPU,$0.0323 hourly / vCPU,$0.0076 hourly / vCPU,unavailable,unavailable
C6GN Large,c6gn.large,4 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.0513 hourly / vCPU,$0.0323 hourly / vCPU,$0.0087 hourly / vCPU,unavailable,unavailable
C6GN Extra Large,c6gn.xlarge,8 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,$0.0513 hourly / vCPU,$0.0323 hourly / vCPU,$0.0099 hourly / vCPU,unavailable,unavailable
C6GN Double Extra Large,c6gn.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.0513 hourly / vCPU,$0.0323 hourly / vCPU,$0.0109 hourly / vCPU,unavailable,unavailable
C6GN Quadruple Extra Large,c6gn.4xlarge,32 GiB,16 vCPUs,EBS only,25 Gigabit,$0.0513 hourly / vCPU,$0.0323 hourly / vCPU,$0.0098 hourly / vCPU,unavailable,unavailable
C6GN Eight Extra Large,c6gn.8xlarge,64 GiB,32 vCPUs,EBS only,50 Gigabit,$0.0513 hourly / vCPU,$0.0323 hourly / vCPU,$0.0111 hourly / vCPU,unavailable,unavailable
C6GN 12xlarge Extra Large,c6gn.12xlarge,96 GiB,48 vCPUs,EBS only,75 Gigabit,$0.0513 hourly / vCPU,$0.0323 hourly / vCPU,$0.0089 hourly / vCPU,unavailable,unavailable
C6GN 16xlarge Extra Large,c6gn.16xlarge,128 GiB,64 vCPUs,EBS only,100 Gigabit,$0.0513 hourly / vCPU,$0.0323 hourly / vCPU,$0.0092 hourly / vCPU,unavailable,unavailable
C6GN Metal,c6gn.metal,128 GiB,64 vCPUs,EBS only,100 Gigabit,$0.0513 hourly / vCPU,$0.0323 hourly / vCPU,unavailable,unavailable,unavailable
C6I Large,c6i.large,4 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0505 hourly / vCPU,$0.0333 hourly / vCPU,$0.0176 hourly / vCPU,$0.0965 hourly / vCPU,$0.0793 hourly / vCPU
C6I Extra Large,c6i.xlarge,8 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0505 hourly / vCPU,$0.0333 hourly / vCPU,$0.0174 hourly / vCPU,$0.0965 hourly / vCPU,$0.0333 hourly / vCPU
C6I Double Extra Large,c6i.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0505 hourly / vCPU,$0.0333 hourly / vCPU,$0.0217 hourly / vCPU,$0.0965 hourly / vCPU,$0.0333 hourly / vCPU
C6I Quadruple Extra Large,c6i.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0505 hourly / vCPU,$0.0333 hourly / vCPU,$0.0148 hourly / vCPU,$0.0965 hourly / vCPU,$0.0333 hourly / vCPU
C6I Eight Extra Large,c6i.8xlarge,64 GiB,32 vCPUs,EBS only,12.5 Gigabit,$0.0505 hourly / vCPU,$0.0333 hourly / vCPU,$0.0151 hourly / vCPU,$0.0965 hourly / vCPU,$0.0333 hourly / vCPU
C6I 12xlarge Extra Large,c6i.12xlarge,96 GiB,48 vCPUs,EBS only,18.75 Gigabit,$0.0505 hourly / vCPU,$0.0333 hourly / vCPU,$0.0144 hourly / vCPU,$0.0965 hourly / vCPU,$0.0793 hourly / vCPU
C6I 16xlarge Extra Large,c6i.16xlarge,128 GiB,64 vCPUs,EBS only,25 Gigabit,$0.0505 hourly / vCPU,$0.0333 hourly / vCPU,$0.0121 hourly / vCPU,$0.0965 hourly / vCPU,$0.0793 hourly / vCPU
C6I 24xlarge,c6i.24xlarge,192 GiB,96 vCPUs,EBS only,37.5 Gigabit,$0.0505 hourly / vCPU,$0.0333 hourly / vCPU,$0.0124 hourly / vCPU,$0.0965 hourly / vCPU,$0.0333 hourly / vCPU
C6I 32xlarge,c6i.32xlarge,256 GiB,128 vCPUs,EBS only,50 Gigabit,$0.0505 hourly / vCPU,$0.0333 hourly / vCPU,$0.0096 hourly / vCPU,$0.0965 hourly / vCPU,$0.0793 hourly / vCPU
C6I Metal,c6i.metal,256 GiB,128 vCPUs,EBS only,50 Gigabit,$0.0505 hourly / vCPU,$0.0333 hourly / vCPU,$0.0149 hourly / vCPU,$0.0965 hourly / vCPU,$0.0333 hourly / vCPU
C6ID Large,c6id.large,4 GiB,2 vCPUs,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.0604 hourly / vCPU,$0.038 hourly / vCPU,$0.0183 hourly / vCPU,$0.1064 hourly / vCPU,$0.084 hourly / vCPU
C6ID Extra Large,c6id.xlarge,8 GiB,4 vCPUs,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.0604 hourly / vCPU,$0.038 hourly / vCPU,$0.0165 hourly / vCPU,$0.1064 hourly / vCPU,$0.084 hourly / vCPU
C6ID Double Extra Large,c6id.2xlarge,16 GiB,8 vCPUs,474 GB NVMe SSD,Up to 12.5 Gigabit,$0.0604 hourly / vCPU,$0.038 hourly / vCPU,$0.0196 hourly / vCPU,$0.1064 hourly / vCPU,$0.084 hourly / vCPU
C6ID Quadruple Extra Large,c6id.4xlarge,32 GiB,16 vCPUs,950 GB NVMe SSD,Up to 12.5 Gigabit,$0.0604 hourly / vCPU,$0.038 hourly / vCPU,$0.0198 hourly / vCPU,$0.1064 hourly / vCPU,$0.084 hourly / vCPU
C6ID Eight Extra Large,c6id.8xlarge,64 GiB,32 vCPUs,1900 GB NVMe SSD,12.5 Gigabit,$0.0604 hourly / vCPU,$0.038 hourly / vCPU,$0.0214 hourly / vCPU,$0.1064 hourly / vCPU,$0.084 hourly / vCPU
C6ID 12xlarge Extra Large,c6id.12xlarge,96 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),18.75 Gigabit,$0.0604 hourly / vCPU,$0.038 hourly / vCPU,$0.0177 hourly / vCPU,$0.1064 hourly / vCPU,$0.084 hourly / vCPU
C6ID 16xlarge Extra Large,c6id.16xlarge,128 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$0.0604 hourly / vCPU,$0.038 hourly / vCPU,$0.0154 hourly / vCPU,$0.1064 hourly / vCPU,$0.084 hourly / vCPU
C6ID 24xlarge,c6id.24xlarge,192 GiB,96 vCPUs,5700 GB (4×1425 GB NVMe SSD),37.5 Gigabit,$0.0604 hourly / vCPU,$0.038 hourly / vCPU,$0.0124 hourly / vCPU,$0.1064 hourly / vCPU,$0.084 hourly / vCPU
C6ID 32xlarge,c6id.32xlarge,256 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$0.0604 hourly / vCPU,$0.038 hourly / vCPU,$0.0087 hourly / vCPU,$0.1064 hourly / vCPU,$0.084 hourly / vCPU
C6ID Metal,c6id.metal,256 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$0.0604 hourly / vCPU,$0.038 hourly / vCPU,$0.0111 hourly / vCPU,$0.1064 hourly / vCPU,$0.084 hourly / vCPU
C6IN Large,c6in.large,4 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.0672 hourly / vCPU,$0.0423 hourly / vCPU,$0.0154 hourly / vCPU,$0.1132 hourly / vCPU,$0.0423 hourly / vCPU
C6IN Extra Large,c6in.xlarge,8 GiB,4 vCPUs,EBS only,Up to 30 Gigabit,$0.0672 hourly / vCPU,$0.0423 hourly / vCPU,$0.0146 hourly / vCPU,$0.1132 hourly / vCPU,$0.0423 hourly / vCPU
